indicator,jenis_kelamin,rentang_usia,month,l,m,s,sd,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,height
length_height_for_age,boys,0-2,0.0,1.0,49.8842,0.03795,1.8931,44.2,46.1,48.0,49.9,51.8,53.7,55.6,
length_height_for_age,boys,0-2,1.0,1.0,54.7244,0.03557,1.9465,48.9,50.8,52.8,54.7,56.7,58.6,60.6,
length_height_for_age,boys,0-2,2.0,1.0,58.4249,0.03424,2.0005,52.4,54.4,56.4,58.4,60.4,62.4,64.4,
length_height_for_age,boys,0-2,3.0,1.0,61.4292,0.03328,2.0444,55.3,57.3,59.4,61.4,63.5,65.5,67.6,
length_height_for_age,boys,0-2,4.0,1.0,63.886,0.03257,2.0808,57.6,59.7,61.8,63.9,66.0,68.0,70.1,
length_height_for_age,boys,0-2,5.0,1.0,65.9026,0.03204,2.1115,59.6,61.7,63.8,65.9,68.0,70.1,72.2,
length_height_for_age,boys,0-2,6.0,1.0,67.6236,0.03165,2.1403,61.2,63.3,65.5,67.6,69.8,71.9,74.0,
length_height_for_age,boys,0-2,7.0,1.0,69.1645,0.03139,2.1711,62.7,64.8,67.0,69.2,71.3,73.5,75.7,
length_height_for_age,boys,0-2,8.0,1.0,70.5994,0.03124,2.2055,64.0,66.2,68.4,70.6,72.8,75.0,77.2,
length_height_for_age,boys,0-2,9.0,1.0,71.9687,0.03117,2.2433,65.2,67.5,69.7,72.0,74.2,76.5,78.7,
length_height_for_age,boys,0-2,10.0,1.0,73.2812,0.03118,2.2849,66.4,68.7,71.0,73.3,75.6,77.9,80.1,
length_height_for_age,boys,0-2,11.0,1.0,74.5388,0.03125,2.3293,67.6,69.9,72.2,74.5,76.9,79.2,81.5,
length_height_for_age,boys,0-2,12.0,1.0,75.7488,0.03137,2.3762,68.6,71.0,73.4,75.7,78.1,80.5,82.9,
length_height_for_age,boys,0-2,13.0,1.0,76.9186,0.03154,2.426,69.6,72.1,74.5,76.9,79.3,81.8,84.2,
length_height_for_age,boys,0-2,14.0,1.0,78.0497,0.03174,2.4773,70.6,73.1,75.6,78.0,80.5,83.0,85.5,
length_height_for_age,boys,0-2,15.0,1.0,79.1458,0.03197,2.5303,71.6,74.1,76.6,79.1,81.7,84.2,86.7,
length_height_for_age,boys,0-2,16.0,1.0,80.2113,0.03222,2.5844,72.5,75.0,77.6,80.2,82.8,85.4,88.0,
length_height_for_age,boys,0-2,17.0,1.0,81.2487,0.0325,2.6406,73.3,76.0,78.6,81.2,83.9,86.5,89.2,
length_height_for_age,boys,0-2,18.0,1.0,82.2587,0.03279,2.6973,74.2,76.9,79.6,82.3,85.0,87.7,90.4,
length_height_for_age,boys,0-2,19.0,1.0,83.2418,0.0331,2.7553,75.0,77.7,80.5,83.2,86.0,88.8,91.5,
length_height_for_age,boys,0-2,20.0,1.0,84.1996,0.03342,2.814,75.8,78.6,81.4,84.2,87.0,89.8,92.6,
length_height_for_age,boys,0-2,21.0,1.0,85.1348,0.03376,2.8742,76.5,79.4,82.3,85.1,88.0,90.9,93.8,
length_height_for_age,boys,0-2,22.0,1.0,86.0477,0.0341,2.9342,77.2,80.2,83.1,86.0,89.0,91.9,94.9,
length_height_for_age,boys,0-2,23.0,1.0,86.941,0.03445,2.9951,78.0,81.0,83.9,86.9,89.9,92.9,95.9,
length_height_for_age,boys,0-2,24.0,1.0,87.8161,0.03479,3.0551,78.7,81.7,84.8,87.8,90.9,93.9,97.0,
length_height_for_age,boys,2-5,24.0,1.0,87.1161,0.03507,3.0551,78.0,81.0,84.1,87.1,90.2,93.2,96.3,
length_height_for_age,boys,2-5,25.0,1.0,87.972,0.03542,3.116,78.6,81.7,84.9,88.0,91.1,94.2,97.3,
length_height_for_age,boys,2-5,26.0,1.0,88.8065,0.03576,3.1757,79.3,82.5,85.6,88.8,92.0,95.2,98.3,
length_height_for_age,boys,2-5,27.0,1.0,89.6197,0.0361,3.2353,79.9,83.1,86.4,89.6,92.9,96.1,99.3,
length_height_for_age,boys,2-5,28.0,1.0,90.412,0.03642,3.2928,80.5,83.8,87.1,90.4,93.7,97.0,100.3,
length_height_for_age,boys,2-5,29.0,1.0,91.1828,0.03674,3.3501,81.1,84.5,87.8,91.2,94.5,97.9,101.2,
length_height_for_age,boys,2-5,30.0,1.0,91.9327,0.03704,3.4052,81.7,85.1,88.5,91.9,95.3,98.7,102.1,
length_height_for_age,boys,2-5,31.0,1.0,92.6631,0.03733,3.4591,82.3,85.7,89.2,92.7,96.1,99.6,103.0,
length_height_for_age,boys,2-5,32.0,1.0,93.3753,0.03761,3.5118,82.8,86.4,89.9,93.4,96.9,100.4,103.9,
length_height_for_age,boys,2-5,33.0,1.0,94.0711,0.03787,3.5625,83.4,86.9,90.5,94.1,97.6,101.2,104.8,
length_height_for_age,boys,2-5,34.0,1.0,94.7532,0.03812,3.612,83.9,87.5,91.1,94.8,98.4,102.0,105.6,
length_height_for_age,boys,2-5,35.0,1.0,95.4236,0.03836,3.6604,84.4,88.1,91.8,95.4,99.1,102.7,106.4,
length_height_for_age,boys,2-5,36.0,1.0,96.0835,0.03858,3.7069,85.0,88.7,92.4,96.1,99.8,103.5,107.2,
length_height_for_age,boys,2-5,37.0,1.0,96.7337,0.03879,3.7523,85.5,89.2,93.0,96.7,100.5,104.2,108.0,
length_height_for_age,boys,2-5,38.0,1.0,97.3749,0.039,3.7976,86.0,89.8,93.6,97.4,101.2,105.0,108.8,
length_height_for_age,boys,2-5,39.0,1.0,98.0073,0.03919,3.8409,86.5,90.3,94.2,98.0,101.8,105.7,109.5,
length_height_for_age,boys,2-5,40.0,1.0,98.631,0.03937,3.8831,87.0,90.9,94.7,98.6,102.5,106.4,110.3,
length_height_for_age,boys,2-5,41.0,1.0,99.2459,0.03954,3.9242,87.5,91.4,95.3,99.2,103.2,107.1,111.0,
length_height_for_age,boys,2-5,42.0,1.0,99.8515,0.03971,3.9651,88.0,91.9,95.9,99.9,103.8,107.8,111.7,
length_height_for_age,boys,2-5,43.0,1.0,100.4485,0.03986,4.0039,88.4,92.4,96.4,100.4,104.5,108.5,112.5,
length_height_for_age,boys,2-5,44.0,1.0,101.0374,0.04002,4.0435,88.9,93.0,97.0,101.0,105.1,109.1,113.2,
length_height_for_age,boys,2-5,45.0,1.0,101.6186,0.04016,4.081,89.4,93.5,97.5,101.6,105.7,109.8,113.9,
length_height_for_age,boys,2-5,46.0,1.0,102.1933,0.04031,4.1194,89.8,94.0,98.1,102.2,106.3,110.4,114.6,
length_height_for_age,boys,2-5,47.0,1.0,102.7625,0.04045,4.1567,90.3,94.4,98.6,102.8,106.9,111.1,115.2,
length_height_for_age,boys,2-5,48.0,1.0,103.3273,0.04059,4.1941,90.7,94.9,99.1,103.3,107.5,111.7,115.9,
length_height_for_age,boys,2-5,49.0,1.0,103.8886,0.04073,4.2314,91.2,95.4,99.7,103.9,108.1,112.4,116.6,
length_height_for_age,boys,2-5,50.0,1.0,104.4473,0.04086,4.2677,91.6,95.9,100.2,104.4,108.7,113.0,117.3,
length_height_for_age,boys,2-5,51.0,1.0,105.0041,0.041,4.3052,92.1,96.4,100.7,105.0,109.3,113.6,117.9,
length_height_for_age,boys,2-5,52.0,1.0,105.5596,0.04113,4.3417,92.5,96.9,101.2,105.6,109.9,114.2,118.6,
length_height_for_age,boys,2-5,53.0,1.0,106.1138,0.04126,4.3783,93.0,97.4,101.7,106.1,110.5,114.9,119.2,
length_height_for_age,boys,2-5,54.0,1.0,106.6668,0.04139,4.4149,93.4,97.8,102.3,106.7,111.1,115.5,119.9,
length_height_for_age,boys,2-5,55.0,1.0,107.2188,0.04152,4.4517,93.9,98.3,102.8,107.2,111.7,116.1,120.6,
length_height_for_age,boys,2-5,56.0,1.0,107.7697,0.04165,4.4886,94.3,98.8,103.3,107.8,112.3,116.7,121.2,
length_height_for_age,boys,2-5,57.0,1.0,108.3198,0.04177,4.5245,94.7,99.3,103.8,108.3,112.8,117.4,121.9,
length_height_for_age,boys,2-5,58.0,1.0,108.8689,0.0419,4.5616,95.2,99.7,104.3,108.9,113.4,118.0,122.6,
length_height_for_age,boys,2-5,59.0,1.0,109.417,0.04202,4.5977,95.6,100.2,104.8,109.4,114.0,118.6,123.2,
length_height_for_age,boys,2-5,60.0,1.0,109.9638,0.04214,4.6339,96.1,100.7,105.3,110.0,114.6,119.2,123.9,
length_height_for_age,girls,0-2,0.0,1.0,49.1477,0.0379,1.8627,43.6,45.4,47.3,49.1,51.0,52.9,54.7,
length_height_for_age,girls,0-2,1.0,1.0,53.6872,0.0364,1.9542,47.8,49.8,51.7,53.7,55.6,57.6,59.5,
length_height_for_age,girls,0-2,2.0,1.0,57.0673,0.03568,2.0362,51.0,53.0,55.0,57.1,59.1,61.1,63.2,
length_height_for_age,girls,0-2,3.0,1.0,59.8029,0.0352,2.1051,53.5,55.6,57.7,59.8,61.9,64.0,66.1,
length_height_for_age,girls,0-2,4.0,1.0,62.0899,0.03486,2.1645,55.6,57.8,59.9,62.1,64.3,66.4,68.6,
length_height_for_age,girls,0-2,5.0,1.0,64.0301,0.03463,2.2174,57.4,59.6,61.8,64.0,66.2,68.5,70.7,
length_height_for_age,girls,0-2,6.0,1.0,65.7311,0.03448,2.2664,58.9,61.2,63.5,65.7,68.0,70.3,72.5,
length_height_for_age,girls,0-2,7.0,1.0,67.2873,0.03441,2.3154,60.3,62.7,65.0,67.3,69.6,71.9,74.2,
length_height_for_age,girls,0-2,8.0,1.0,68.7498,0.0344,2.365,61.7,64.0,66.4,68.7,71.1,73.5,75.8,
length_height_for_age,girls,0-2,9.0,1.0,70.1435,0.03444,2.4157,62.9,65.3,67.7,70.1,72.6,75.0,77.4,
length_height_for_age,girls,0-2,10.0,1.0,71.4818,0.03452,2.4676,64.1,66.5,69.0,71.5,73.9,76.4,78.9,
length_height_for_age,girls,0-2,11.0,1.0,72.771,0.03464,2.5208,65.2,67.7,70.3,72.8,75.3,77.8,80.3,
length_height_for_age,girls,0-2,12.0,1.0,74.015,0.03479,2.575,66.3,68.9,71.4,74.0,76.6,79.2,81.7,
length_height_for_age,girls,0-2,13.0,1.0,75.2176,0.03496,2.6296,67.3,70.0,72.6,75.2,77.8,80.5,83.1,
length_height_for_age,girls,0-2,14.0,1.0,76.3817,0.03514,2.6841,68.3,71.0,73.7,76.4,79.1,81.7,84.4,
length_height_for_age,girls,0-2,15.0,1.0,77.5099,0.03534,2.7392,69.3,72.0,74.8,77.5,80.2,83.0,85.7,
length_height_for_age,girls,0-2,16.0,1.0,78.6055,0.03555,2.7944,70.2,73.0,75.8,78.6,81.4,84.2,87.0,
length_height_for_age,girls,0-2,17.0,1.0,79.671,0.03576,2.849,71.1,74.0,76.8,79.7,82.5,85.4,88.2,
length_height_for_age,girls,0-2,18.0,1.0,80.7079,0.03598,2.9039,72.0,74.9,77.8,80.7,83.6,86.5,89.4,
length_height_for_age,girls,0-2,19.0,1.0,81.7182,0.0362,2.9582,72.8,75.8,78.8,81.7,84.7,87.6,90.6,
length_height_for_age,girls,0-2,20.0,1.0,82.7036,0.03643,3.0129,73.7,76.7,79.7,82.7,85.7,88.7,91.7,
length_height_for_age,girls,0-2,21.0,1.0,83.6654,0.03666,3.0672,74.5,77.5,80.6,83.7,86.7,89.8,92.9,
length_height_for_age,girls,0-2,22.0,1.0,84.604,0.03688,3.1202,75.2,78.4,81.5,84.6,87.7,90.8,94.0,
length_height_for_age,girls,0-2,23.0,1.0,85.5202,0.03711,3.1737,76.0,79.2,82.3,85.5,88.7,91.9,95.0,
length_height_for_age,girls,0-2,24.0,1.0,86.4153,0.03734,3.2267,76.7,80.0,83.2,86.4,89.6,92.9,96.1,
length_height_for_age,girls,2-5,24.0,1.0,85.7153,0.03764,3.2267,76.0,79.3,82.5,85.7,88.9,92.2,95.4,
length_height_for_age,girls,2-5,25.0,1.0,86.5904,0.03786,3.2783,76.8,80.0,83.3,86.6,89.9,93.1,96.4,
length_height_for_age,girls,2-5,26.0,1.0,87.4462,0.03808,3.33,77.5,80.8,84.1,87.4,90.8,94.1,97.4,
length_height_for_age,girls,2-5,27.0,1.0,88.283,0.0383,3.3812,78.1,81.5,84.9,88.3,91.7,95.0,98.4,
length_height_for_age,girls,2-5,28.0,1.0,89.1004,0.03851,3.4313,78.8,82.2,85.7,89.1,92.5,96.0,99.4,
length_height_for_age,girls,2-5,29.0,1.0,89.8991,0.03872,3.4809,79.5,82.9,86.4,89.9,93.4,96.9,100.3,
length_height_for_age,girls,2-5,30.0,1.0,90.6797,0.03893,3.5302,80.1,83.6,87.1,90.7,94.2,97.7,101.3,
length_height_for_age,girls,2-5,31.0,1.0,91.443,0.03913,3.5782,80.7,84.3,87.9,91.4,95.0,98.6,102.2,
length_height_for_age,girls,2-5,32.0,1.0,92.1906,0.03933,3.6259,81.3,84.9,88.6,92.2,95.8,99.4,103.1,
length_height_for_age,girls,2-5,33.0,1.0,92.9239,0.03952,3.6724,81.9,85.6,89.3,92.9,96.6,100.3,103.9,
length_height_for_age,girls,2-5,34.0,1.0,93.6444,0.03971,3.7186,82.5,86.2,89.9,93.6,97.4,101.1,104.8,
length_height_for_age,girls,2-5,35.0,1.0,94.3533,0.03989,3.7638,83.1,86.8,90.6,94.4,98.1,101.9,105.6,
length_height_for_age,girls,2-5,36.0,1.0,95.0515,0.04006,3.8078,83.6,87.4,91.2,95.1,98.9,102.7,106.5,
length_height_for_age,girls,2-5,37.0,1.0,95.7399,0.04024,3.8526,84.2,88.0,91.9,95.7,99.6,103.4,107.3,
length_height_for_age,girls,2-5,38.0,1.0,96.4187,0.04041,3.8963,84.7,88.6,92.5,96.4,100.3,104.2,108.1,
length_height_for_age,girls,2-5,39.0,1.0,97.0885,0.04057,3.9389,85.3,89.2,93.1,97.1,101.0,105.0,108.9,
length_height_for_age,girls,2-5,40.0,1.0,97.7493,0.04073,3.9813,85.8,89.8,93.8,97.7,101.7,105.7,109.7,
length_height_for_age,girls,2-5,41.0,1.0,98.4015,0.04089,4.0236,86.3,90.4,94.4,98.4,102.4,106.4,110.5,
length_height_for_age,girls,2-5,42.0,1.0,99.0448,0.04105,4.0658,86.8,90.9,95.0,99.0,103.1,107.2,111.2,
length_height_for_age,girls,2-5,43.0,1.0,99.6795,0.0412,4.1068,87.4,91.5,95.6,99.7,103.8,107.9,112.0,
length_height_for_age,girls,2-5,44.0,1.0,100.3058,0.04135,4.1476,87.9,92.0,96.2,100.3,104.5,108.6,112.7,
length_height_for_age,girls,2-5,45.0,1.0,100.9238,0.0415,4.1883,88.4,92.5,96.7,100.9,105.1,109.3,113.5,
length_height_for_age,girls,2-5,46.0,1.0,101.5337,0.04164,4.2279,88.9,93.1,97.3,101.5,105.8,110.0,114.2,
length_height_for_age,girls,2-5,47.0,1.0,102.136,0.04179,4.2683,89.3,93.6,97.9,102.1,106.4,110.7,114.9,
length_height_for_age,girls,2-5,48.0,1.0,102.7312,0.04193,4.3075,89.8,94.1,98.4,102.7,107.0,111.3,115.7,
length_height_for_age,girls,2-5,49.0,1.0,103.3197,0.04206,4.3456,90.3,94.6,99.0,103.3,107.7,112.0,116.4,
length_height_for_age,girls,2-5,50.0,1.0,103.9021,0.0422,4.3847,90.7,95.1,99.5,103.9,108.3,112.7,117.1,
length_height_for_age,girls,2-5,51.0,1.0,104.4786,0.04233,4.4226,91.2,95.6,100.1,104.5,108.9,113.3,117.7,
length_height_for_age,girls,2-5,52.0,1.0,105.0494,0.04246,4.4604,91.7,96.1,100.6,105.0,109.5,114.0,118.4,
length_height_for_age,girls,2-5,53.0,1.0,105.6148,0.04259,4.4981,92.1,96.6,101.1,105.6,110.1,114.6,119.1,
length_height_for_age,girls,2-5,54.0,1.0,106.1748,0.04272,4.5358,92.6,97.1,101.6,106.2,110.7,115.2,119.8,
length_height_for_age,girls,2-5,55.0,1.0,106.7295,0.04285,4.5734,93.0,97.6,102.2,106.7,111.3,115.9,120.4,
length_height_for_age,girls,2-5,56.0,1.0,107.2788,0.04298,4.6108,93.4,98.1,102.7,107.3,111.9,116.5,121.1,
length_height_for_age,girls,2-5,57.0,1.0,107.8227,0.0431,4.6472,93.9,98.5,103.2,107.8,112.5,117.1,121.8,
length_height_for_age,girls,2-5,58.0,1.0,108.3613,0.04322,4.6834,94.3,99.0,103.7,108.4,113.0,117.7,122.4,
length_height_for_age,girls,2-5,59.0,1.0,108.8948,0.04334,4.7195,94.7,99.5,104.2,108.9,113.6,118.3,123.1,
length_height_for_age,girls,2-5,60.0,1.0,109.4233,0.04347,4.7566,95.2,99.9,104.7,109.4,114.2,118.9,123.7,
weight_for_age,boys,0-5,0.0,0.3487,3.3464,0.14602,,2.1,2.5,2.9,3.3,3.9,4.4,5.0,
weight_for_age,boys,0-5,1.0,0.2297,4.4709,0.13395,,2.9,3.4,3.9,4.5,5.1,5.8,6.6,
weight_for_age,boys,0-5,2.0,0.197,5.5675,0.12385,,3.8,4.3,4.9,5.6,6.3,7.1,8.0,
weight_for_age,boys,0-5,3.0,0.1738,6.3762,0.11727,,4.4,5.0,5.7,6.4,7.2,8.0,9.0,
weight_for_age,boys,0-5,4.0,0.1553,7.0023,0.11316,,4.9,5.6,6.2,7.0,7.8,8.7,9.7,
weight_for_age,boys,0-5,5.0,0.1395,7.5105,0.1108,,5.3,6.0,6.7,7.5,8.4,9.3,10.4,
weight_for_age,boys,0-5,6.0,0.1257,7.934,0.10958,,5.7,6.4,7.1,7.9,8.8,9.8,10.9,
weight_for_age,boys,0-5,7.0,0.1134,8.297,0.10902,,5.9,6.7,7.4,8.3,9.2,10.3,11.4,
weight_for_age,boys,0-5,8.0,0.1021,8.6151,0.10882,,6.2,6.9,7.7,8.6,9.6,10.7,11.9,
weight_for_age,boys,0-5,9.0,0.0917,8.9014,0.10881,,6.4,7.1,8.0,8.9,9.9,11.0,12.3,
weight_for_age,boys,0-5,10.0,0.082,9.1649,0.10891,,6.6,7.4,8.2,9.2,10.2,11.4,12.7,
weight_for_age,boys,0-5,11.0,0.073,9.4122,0.10906,,6.8,7.6,8.4,9.4,10.5,11.7,13.0,
weight_for_age,boys,0-5,12.0,0.0644,9.6479,0.10925,,6.9,7.7,8.6,9.6,10.8,12.0,13.3,
weight_for_age,boys,0-5,13.0,0.0563,9.8749,0.10949,,7.1,7.9,8.8,9.9,11.0,12.3,13.7,
weight_for_age,boys,0-5,14.0,0.0487,10.0953,0.10976,,7.2,8.1,9.0,10.1,11.3,12.6,14.0,
weight_for_age,boys,0-5,15.0,0.0413,10.3108,0.11007,,7.4,8.3,9.2,10.3,11.5,12.8,14.3,
weight_for_age,boys,0-5,16.0,0.0343,10.5228,0.11041,,7.5,8.4,9.4,10.5,11.7,13.1,14.6,
weight_for_age,boys,0-5,17.0,0.0275,10.7319,0.11079,,7.7,8.6,9.6,10.7,12.0,13.4,14.9,
weight_for_age,boys,0-5,18.0,0.0211,10.9385,0.11119,,7.8,8.8,9.8,10.9,12.2,13.7,15.3,
weight_for_age,boys,0-5,19.0,0.0148,11.143,0.11164,,8.0,8.9,10.0,11.1,12.5,13.9,15.6,
weight_for_age,boys,0-5,20.0,0.0087,11.3462,0.11211,,8.1,9.1,10.1,11.3,12.7,14.2,15.9,
weight_for_age,boys,0-5,21.0,0.0029,11.5486,0.11261,,8.2,9.2,10.3,11.5,12.9,14.5,16.2,
weight_for_age,boys,0-5,22.0,-0.0028,11.7504,0.11314,,8.4,9.4,10.5,11.8,13.2,14.7,16.5,
